Distance (mm), T (C), P (atm), H2, O2, H2O, CH4, CO, CO2, AR, PT(S), H(S), H2O(S), OH(S), CO(S), CO2(S), CH3(S), CH2(S), CH(S), C(S), O(S), 
0.0, 800.00000000000011, 1.0000006517128228, 0.00071015774755489483, 0.002052127498127053, 0.57647827621865144, 0.093914363503328463, 0.010245223722355682, 0.27834899326128498, 0.038250858048697628, 0.98603428359532397, 0.001347667179935979, 0.0012024896290652976, 0.00047937574516898921, 0.0098258821447149581, 2.1815909573530323e-07, 1.4352898002063237e-07, 3.7000962164621335e-10, 1.2958493993953696e-12, 0.0010936323984262451, 1.6307247983512934e-05, 
0.015000000000000001, 800.00000000000011, 1.0000013034256447, 0.021744542894597773, 7.5657469147567468e-06, 0.56227884038683285, 0.086141991060358192, 0.011856307059317719, 0.28015538458182737, 0.037815368270151369, 0.9711153623483354, 0.0079981774206383457, 0.0011550416213174507, 1.1994821615502652e-05, 0.011143774682040176, 2.1274075975352049e-07, 4.9462074064546707e-09, 2.9930915627904342e-11, 5.5155027370527526e-12, 0.0085753825186450413, 4.8864994308374533e-08, 
0.030000000000000002, 800.00000000000011, 1.0000019551384678, 0.038147138712904559, 2.8581150442489533e-08, 0.54968953217323302, 0.080775574132085221, 0.013444531496285687, 0.2804738039468212, 0.037469390957519715, 0.96482539600542805, 0.010543536317533358, 0.0011218674296036781, 9.0573857883628693e-06, 0.012492236585084538, 2.1157643389774663e-07, 6.1492783121959513e-09, 5.391188311283528e-11, 9.3680244459883752e-12, 0.011007662245671715, 2.6241898169666306e-08, 
0.045000000000000005, 800.00000000000011, 1.0000026068512904, 0.050896349878216764, 1.0968336333017113e-10, 0.5399348713512343, 0.076556006349141392, 0.014851241909111215, 0.28056436870616785, 0.037197161696445144, 0.96164832401460931, 0.012147325002315029, 0.0010983313383511864, 8.0014418222036721e-06, 0.01369290947468829, 2.1093831395547456e-07, 7.6901876313153854e-09, 7.0981216522129897e-11, 1.1213500446534065e-11, 0.011404869772652756, 2.0244864794521388e-08, 
0.060000000000000005, 800.00000000000011, 1.000003258564113, 0.061275991855001287, 4.2574620790340248e-13, 0.53201107470990006, 0.073095497112261584, 0.01608105009207772, 0.28056248319081106, 0.036973903039522617, 0.95965801271304985, 0.013305936671243603, 0.0010799738209621851, 7.3606069762546556e-06, 0.014738965352760291, 2.1049470499560278e-07, 8.9555100674260165e-09, 8.2127233816632784e-11, 1.2095275643951732e-11, 0.011209514170897264, 1.7119672951993947e-08, 
0.075000000000000011, 800.00000000000011, 1.0000039102769354, 0.069971668811768611, 1.6671924477165204e-15, 0.52538316257713424, 0.070181828497230841, 0.017160261391146223, 0.2805171543035207, 0.036785924419197751, 0.95830783930100016, 0.014201519628623645, 0.0010650195459086815, 6.919586128936629e-06, 0.015652968968755874, 2.1016082248352475e-07, 9.8853072774766884e-09, 8.8834171316475014e-11, 1.2414412146302968e-11, 0.01076549764462763, 1.5177576899773893e-08, 
0.090000000000000011, 800.00000000000011, 1.000004561989758, 0.077407725040972972, 6.5793061372678683e-18, 0.51972241140898989, 0.067680262275259084, 0.018116556357920265, 0.28044851186684622, 0.036624533050011447, 0.95732558854013128, 0.014923328614341532, 0.0010524653698208719, 6.5925620629469125e-06, 0.0164591748848422, 2.0989131431923122e-07, 1.0528541958262957e-08, 9.2498473785705228e-11, 1.2411899014259177e-11, 0.010232615662858172, 1.3841176289716403e-08, 
0.10500000000000001, 800.00000000000011, 1.0000052137025806, 0.083869275971770227, 2.9606628055261656e-20, 0.51480901296798309, 0.065498774676705535, 0.018973544466834583, 0.28036560000211702, 0.036483791914589635, 0.95656481513837488, 0.01552227600299977, 0.0010416877459329702, 6.3375352237408365e-06, 0.017178313124774459, 2.0966045428681472e-07, 1.095192416145501e-08, 9.4154746241474615e-11, 1.2230369282068824e-11, 0.0096863368765502667, 1.2857380106352773e-08, 
0.12000000000000001, 800.00000000000011, 1.0000058654154027, 0.089557827038146021, 3.2235275101533049e-21, 0.51048805636191963, 0.063571709755630049, 0.019749985393567725, 0.28027295630526561, 0.03635946514547108, 0.95594329051916027, 0.016030244086427968, 0.0010322740977096985, 6.1312887167883888e-06, 0.017826861849302388, 2.094533883071955e-07, 1.1213678458507428e-08, 9.4509105085124833e-11, 1.1953277305524052e-11, 0.0091609652875127862, 1.2097640989268726e-08, 
0.13500000000000001, 800.00000000000011, 1.0000065171282253, 0.094620910114941864, 2.8171199140017231e-21, 0.50664629072846545, 0.061850762448995678, 0.020460402958429404, 0.28017319746218344, 0.036248436286984119, 0.95541317142019044, 0.016468506464472361, 0.0010239381087772199, 5.9598512488969051e-06, 0.018417584628073802, 2.0926144913559314e-07, 1.1358717283701811e-08, 9.4029074503131088e-11, 1.1629253289374505e-11, 0.0086706073117414819, 1.1489670898235149e-08, 
0.15000000000000002, 800.00000000000011, 1.0000071688410477, 0.099169491116904318, 2.5792396781879943e-21, 0.50319858729666578, 0.060299525872639863, 0.021115970470850644, 0.28006806873506024, 0.036148356507879023, 0.95494569374607219, 0.016851931122288683, 0.0010164733583181099, 5.814265387335139e-06, 0.018960308350732185, 2.0907954746648173e-07, 1.1420094220646467e-08, 9.3021376576983744e-11, 1.1286552668024108e-11, 0.0082195475636159965, 1.0989635890379806e-08, 
0.16500000000000001, 800.00000000000011, 1.0000078205538701, 0.10328887168672725, 2.3877376811563954e-21, 0.50007951386363259, 0.05889000218019224, 0.021725314546494356, 0.27995887822751192, 0.036057419495441626, 0.95452301968394027, 0.017191285803093471, 0.001009726321993823, 5.6884976958080953e-06, 0.019462628199509922, 2.0890468973916567e-07, 1.1421701109450105e-08, 9.1687211302355485e-11, 1.0941472564876866e-11, 0.0078074204953870194, 1.0569359970778383e-08, 
0.18000000000000002, 800.00000000000011, 1.0000084722666926, 0.10704583397504011, 2.2298099897809313e-21, 0.49723783690303386, 0.057600281946215769, 0.022295155623420965, 0.27984667981391326, 0.035974211738376075, 0.95413375358986785, 0.017494593598666404, 0.0010035798415467016, 5.578319992995396e-06, 0.019930468486076453, 2.0873512132604459e-07, 1.1380720485826682e-08, 9.0158981614965541e-11, 1.0603245652393393e-11, 0.0074317957373754356, 1.0209870025180359e-08, 
0.19500000000000001, 800.00000000000011, 1.0000091239795152, 0.11049348797017214, 2.0971567477890769e-21, 0.4946328020350903, 0.056412954994516415, 0.022830792046733817, 0.27973235295394366, 0.035897609999543716, 0.95377040176275762, 0.0177679738278274, 0.00099794256624673953, 5.480671208286467e-06, 0.020368506037018026, 2.0856982336991185e-07, 1.1309523001605864e-08, 8.8524117895582866e-11, 1.0276904606643717e-11, 0.0070894652588981951, 9.8978962426684496e-09, 
0.21000000000000002, 800.00000000000011, 1.0000097756923378, 0.1136746528781875, 1.98401575410727e-21, 0.49223154357247573, 0.055313995912765167, 0.023336457605924017, 0.27961664061703884, 0.035826709413608715, 0.95342789342949863, 0.018016186290919254, 0.0009927419593444189, 5.3932741075367469e-06, 0.020780482701597158, 2.0840821339188961e-07, 1.121704965638179e-08, 8.684045419147132e-11, 9.9649758052873872e-12, 0.0067770729986034684, 9.6238608404101198e-09, 
0.22500000000000001, 800.00000000000011, 1.0000104274051604, 0.11662427133578718, 1.8862566827274208e-21, 0.49000723637722582, 0.054291966406596899, 0.023815583298188295, 0.27950017055608206, 0.035760772026119776, 0.95310269758465671, 0.018242995986009664, 0.00098791951844055337, 5.3143950214400539e-06, 0.021169434114756528, 2.0824996544145476e-07, 1.1109794645818407e-08, 8.5146187709450039e-11, 9.6684917781244518e-12, 0.0064914095658753345, 9.3806649230341962e-09, 
0.24000000000000002, 800.00000000000011, 1.0000110791179828, 0.1193711678145203, 1.8008496085105679e-21, 0.48793774992485689, 0.053337434097249968, 0.024270988760178767, 0.27938347010674064, 0.035699189296453528, 0.95279228329981935, 0.018451424716316441, 0.00098342741915811624, 5.2426876686576071e-06, 0.021537857050571964, 2.0809490147375225e-07, 1.0992498583564591e-08, 8.3466379887982828e-11, 9.3876025271906206e-12, 0.006229536483285501, 9.1629263452916842e-09, 
0.255, 800.00000000000011, 1.0000117308308054, 0.12193935190169856, 1.7255112399531431e-21, 0.48600465042982421, 0.052442542172058022, 0.024705022744436832, 0.27926697841844583, 0.035641454333536625, 0.95249478286888156, 0.018643929009113488, 0.00097922610184957666, 5.1770884433648388e-06, 0.021887832337055019, 2.0794292574216121e-07, 1.0868637382284398e-08, 8.181724049291635e-11, 9.1219476066527678e-12, 0.0059888247256705881, 8.9664839737382475e-09, 
0.27000000000000002, 800.00000000000011, 1.0000123825436278, 0.12434899925882095, 1.6585017783058533e-21, 0.48419244934200745, 0.051600686065686581, 0.025119666840346482, 0.27915105745684116, 0.035587141036297371, 0.95220877745760912, 0.018822528633755064, 0.00097528250044055472, 5.1167442980319679e-06, 0.022221115720894229, 2.0779398541181459e-07, 1.0740768437024431e-08, 8.0208979259839621e-11, 8.8708837361034e-12, 0.0057669515311037697, 8.788065404055018e-09, 
0.28499999999999998, 800.00000000000011, 1.0000130342564502, 0.12661720024410297, 1.6001582223625503e-21, 0.48248802941555718, 0.050806267300799096, 0.02551661267950725, 0.27903600214726537, 0.035535888212768166, 0.95193315823013314, 0.018988901189649118, 0.00097156871854806189, 5.0609618900880075e-06, 0.022539205631967242, 2.0764804725433267e-07, 1.0610777287150399e-08, 7.8647722650706603e-11, 8.6336241600404605e-12, 0.0055618782966481116, 8.625058321863338e-09, 
0.30000000000000004, 800.00000000000011, 1.0000136859692728, 0.12875853833169904, 1.5443408726017133e-21, 0.48088020092021305, 0.050054503784848783, 0.025897319935444262, 0.27892204968704593, 0.03548738734074898, 0.95166703487707227, 0.019144452866010419, 0.00096806102420199359, 5.0091709738576207e-06, 0.022843394194129483, 2.0750508423251106e-07, 1.04800546594345e-08, 7.7136814122878779e-11, 8.4093235898228419e-12, 0.005371821321577536, 8.4753495241219155e-09, 
0.315, 800.00000000000011, 1.0000143376820956, 0.13078554214334931, 1.4940254505813399e-21, 0.47935935454167561, 0.049341281947127544, 0.026263060353720835, 0.27880938798547966, 0.03544137302864693, 0.95140967439020963, 0.01929037216515575, 0.00096473907532831254, 4.9608975529095243e-06, 0.023134806050567419, 2.0736506814497574e-07, 1.0349624519135772e-08, 7.5677703383863247e-11, 8.197129313926161e-12, 0.0051952212854093965, 8.3372092333246875e-09, 
0.33000000000000002, 800.00000000000011, 1.0000149893949184, 0.13270904228839597, 1.4503384442570295e-21, 0.47791718717578024, 0.048663040303547359, 0.02661495152926514, 0.27869816319973434, 0.035397615503277004, 0.95116045946011862, 0.019427671225329252, 0.000961585315554321, 4.9157438640157261e-06, 0.023414428233728732, 2.0722796594302792e-07, 1.0220237408761058e-08, 7.4270558892605162e-11, 7.9962111833449367e-12, 0.0050307142817283823, 8.2092064393571747e-09, 
0.34499999999999997, 800.00000000000011, 1.000015641107741, 0.13453845576866882, 1.4092972779259003e-21, 0.47654648323031334, 0.048016676868610442, 0.026953983120669611, 0.27858848637526257, 0.035355914636475264, 0.95091885978104385, 0.019557217982626413, 0.00095858449741441701, 4.8733732305540606e-06, 0.023683133407299911, 2.0709373825920838e-07, 1.0092439001243257e-08, 7.2914692178237897e-11, 7.8057783808571126e-12, 0.0048771056013412291, 8.0901459284665756e-09, 
0.36000000000000004, 800.00000000000011, 1.0000162928205631, 0.13628201458949277, 1.3715012574779025e-21, 0.47524093872399731, 0.047399474879943268, 0.027281037423115474, 0.27848043923011168, 0.035316095153339618, 0.95068441194927966, 0.019679761479073948, 0.00095572330212340345, 4.8334984434834254e-06, 0.023941698170071649, 2.0696233919850454e-07, 9.9666208098565377e-09, 7.1608853004658322e-11, 7.6250879332870421e-12, 0.0047333466137932786, 7.9790207437219976e-09, 
0.375, 800.00000000000011, 1.0000169445333857, 0.13794695101099019, 1.3366163067293665e-21, 0.47399501868168109, 0.046809042709280678, 0.027596905703197481, 0.27837407913961926, 0.03527800275523129, 0.95045670517035152, 0.019795951969016002, 0.000952990033587464, 4.7958727399633683e-06, 0.02419081762742362, 2.0683371683007735e-07, 9.8430579572141716e-09, 7.0351435231128871e-11, 7.4534481159190707e-12, 0.0045985146973258903, 7.8749758181867585e-09, 
0.39000000000000001, 800.00000000000011, 1.0000175962462083, 0.13953964877791999, 1.3042391105436978e-21, 0.4728038406683247, 0.046243264874784216, 0.027902301316589325, 0.27826944340293325, 0.035241500959448488, 0.95023537093149402, 0.019906357038782744, 0.00095037437000054033, 4.7602827193343583e-06, 0.024431117124772479, 2.0670781403038677e-07, 9.7219374841120699e-09, 6.9140620452427795e-11, 7.2902187433136649e-12, 0.0044717959687692252, 7.7772798129572059e-09, 
0.40500000000000003, 800.00000000000011, 1.0000182479590309, 0.14106576743127616, 1.2741481489338809e-21, 0.47166307902722121, 0.045700261811545351, 0.028197870359656169, 0.27816655286651232, 0.035206468503788932, 0.95002007541007849, 0.020011474640061842, 0.00094786716054968013, 4.7265427223491709e-06, 0.024663161802693633, 2.0658456945555604e-07, 9.6033796894255847e-09, 6.7974477998002112e-11, 7.1348096151663442e-12, 0.0043524704955324334, 7.6853030635737365e-09, 
0.42000000000000004, 800.00000000000011, 1.0000188996718533, 0.14253034515094765, 1.2460778865268815e-21, 0.4705688856438251, 0.045178356610476041, 0.028484200411325138, 0.27806541498293874, 0.035172797200487431, 0.94981051380178438, 0.020111743705538723, 0.00094546025791247747, 4.694490330174947e-06, 0.024887464452557566, 2.0646391852518249e-07, 9.4874543032926339e-09, 6.6851034202036728e-11, 6.9866779308500651e-12, 0.0042398996681661172, 7.5985001361873091e-09, 
0.435, 800.00000000000011, 1.0000195513846757, 0.14393788436057633, 1.2197966666089481e-21, 0.46951782397988073, 0.044676047341284247, 0.028761827782608967, 0.27796602638477474, 0.035140390150874994, 0.94960640599739521, 0.020207552861865468, 0.00094314637919503655, 4.6639827268948174e-06, 0.025104492048541961, 2.0634579434613793e-07, 9.3741927992419985e-09, 6.576831988942496e-11, 6.8453251776850851e-12, 0.0041335154212790324, 7.5163958951001706e-09, 
0.45000000000000001, 800.00000000000011, 1.0000202030974983, 0.14529242337732723, 1.1951728510076893e-21, 0.46850681386666826, 0.044191983885835846, 0.029031243584615087, 0.27786837503500078, 0.035109160250552697, 0.94940749323740814, 0.02029924762233697, 0.00094091898990969903, 4.6348937380998104e-06, 0.025314671215540784, 2.0623012854505003e-07, 9.2635978113186898e-09, 6.4724402470154847e-11, 6.7102938245195642e-12, 0.0040328110373308553, 7.4385742838663116e-09, 
