  Grid,   Temperature,   Uvec,   H2O+,    O-,   O2-
   4.992e-02,   8.215e+02,   2.612e+00,   1.421e-07,   2.909e-10,   2.294e-07
   4.992e-02,   8.435e+02,   2.680e+00,   1.481e-07,   3.591e-10,   2.407e-07
   4.993e-02,   8.655e+02,   2.748e+00,   1.539e-07,   4.400e-10,   2.517e-07
   4.993e-02,   8.873e+02,   2.816e+00,   1.597e-07,   5.351e-10,   2.625e-07
   4.994e-02,   9.302e+02,   2.948e+00,   1.705e-07,   7.700e-10,   2.829e-07
   4.995e-02,   9.723e+02,   3.078e+00,   1.806e-07,   1.076e-09,   3.019e-07
   4.996e-02,   1.013e+03,   3.205e+00,   1.899e-07,   1.460e-09,   3.193e-07
   4.997e-02,   1.053e+03,   3.328e+00,   1.985e-07,   1.929e-09,   3.352e-07
   4.998e-02,   1.091e+03,   3.447e+00,   2.064e-07,   2.485e-09,   3.495e-07
   4.999e-02,   1.128e+03,   3.562e+00,   2.136e-07,   3.127e-09,   3.624e-07
   5.000e-02,   1.164e+03,   3.672e+00,   2.202e-07,   3.852e-09,   3.738e-07
   5.001e-02,   1.198e+03,   3.778e+00,   2.263e-07,   4.652e-09,   3.840e-07
   5.002e-02,   1.230e+03,   3.879e+00,   2.319e-07,   5.518e-09,   3.931e-07
   5.003e-02,   1.261e+03,   3.975e+00,   2.371e-07,   6.436e-09,   4.012e-07
   5.004e-02,   1.290e+03,   4.066e+00,   2.419e-07,   7.394e-09,   4.083e-07
   5.005e-02,   1.317e+03,   4.152e+00,   2.464e-07,   8.374e-09,   4.147e-07
   5.006e-02,   1.343e+03,   4.234e+00,   2.505e-07,   9.362e-09,   4.204e-07
   5.007e-02,   1.368e+03,   4.311e+00,   2.543e-07,   1.034e-08,   4.255e-07
   5.008e-02,   1.391e+03,   4.383e+00,   2.579e-07,   1.129e-08,   4.300e-07
   5.009e-02,   1.413e+03,   4.451e+00,   2.612e-07,   1.221e-08,   4.341e-07
   5.010e-02,   1.433e+03,   4.515e+00,   2.642e-07,   1.308e-08,   4.379e-07
   5.011e-02,   1.452e+03,   4.576e+00,   2.670e-07,   1.389e-08,   4.413e-07
   5.012e-02,   1.470e+03,   4.632e+00,   2.696e-07,   1.464e-08,   4.444e-07
   5.013e-02,   1.488e+03,   4.686e+00,   2.721e-07,   1.531e-08,   4.474e-07
   5.014e-02,   1.504e+03,   4.736e+00,   2.744e-07,   1.592e-08,   4.502e-07
   5.015e-02,   1.519e+03,   4.783e+00,   2.765e-07,   1.645e-08,   4.528e-07
   5.016e-02,   1.533e+03,   4.827e+00,   2.784e-07,   1.691e-08,   4.553e-07
   5.018e-02,   1.559e+03,   4.908e+00,   2.819e-07,   1.762e-08,   4.601e-07
   5.020e-02,   1.583e+03,   4.981e+00,   2.850e-07,   1.809e-08,   4.646e-07
   5.021e-02,   1.604e+03,   5.046e+00,   2.878e-07,   1.837e-08,   4.690e-07
   5.023e-02,   1.624e+03,   5.105e+00,   2.902e-07,   1.849e-08,   4.731e-07
   5.025e-02,   1.641e+03,   5.159e+00,   2.923e-07,   1.847e-08,   4.771e-07
   5.027e-02,   1.658e+03,   5.209e+00,   2.943e-07,   1.836e-08,   4.808e-07
   5.031e-02,   1.686e+03,   5.294e+00,   2.976e-07,   1.792e-08,   4.878e-07
   5.035e-02,   1.711e+03,   5.368e+00,   3.003e-07,   1.733e-08,   4.941e-07
   5.039e-02,   1.732e+03,   5.432e+00,   3.026e-07,   1.666e-08,   4.999e-07
