THERMO NO_TMID
 300.0   1000.0   5000.0
!
! This is the NASA thermodynamic database, which is available for download
! from http://www.galcit.caltech.edu/EDL/public/thermo.html. The original 
! sources are
!
! S. Gordon and B.J. McBride, "Computer Program for Calculation of Complex 
! Chemical Equilibrium Composition, Rocket Performance, Incident and 
! Reflected Shocks and Chapman-Jouguet Detonations", NASA Report SP-273, 1971.
!
! B.J. McBride, S. Gordon, and M.A. Reno, "Coefficients for Calculating 
! Thermodynamic and Transport Properties of Individual Species", NASA 
! Report TM-4513, October 1993.
!-----------------------------------------------------------------------------
!
Electron gas      L10/92E  1.   0.   0.   0.G   200.000  6000.0005.48579903-04 1
 2.50000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00    2
-7.45375000E+02-1.17246902E+01 2.50000000E+00 0.00000000E+00 0.00000000E+00    3
 0.00000000E+00 0.00000000E+00-7.45375000E+02-1.17246902E+01 0.00000000E+00    4
AL                J 6/83AL 1.   0.   0.   0.G   200.000  6000.000     26.98154 1
 2.53385701E+00-4.65859492E-05 2.82798048E-08-8.54362013E-12 1.02207983E-15    2
 3.89045662E+04 5.37984173E+00 3.11112433E+00-3.59382310E-03 8.14749313E-06    3
-8.08808966E-09 2.93132463E-12 3.88283390E+04 2.84045724E+00 3.96535695E+04    4
AL+               J 6/83AL 1.E -1.   0.   0.G   298.150  6000.000     26.98099 1
 2.51215337E+00-2.61011300E-05 1.90360463E-08-5.68881493E-12 6.00529995E-16    2
 1.09023995E+05 3.72538261E+00 2.50000000E+00 0.00000000E+00 0.00000000E+00    3
 0.00000000E+00 0.00000000E+00 1.09028141E+05 3.79100586E+00 1.09773516E+05    4
AL-               J 6/83AL 1.E  1.   0.   0.G   298.150  6000.000     26.98209 1
 2.18963489E+00 8.03446211E-04-3.79389535E-07 6.90059853E-11-4.39884116E-15    2
 3.30960260E+04 7.55557187E+00 2.64731898E+00-7.20371592E-04 1.02539612E-06    3
-3.51118197E-11-2.38932974E-13 3.30049252E+04 5.30876665E+00 3.37710821E+04    4
ALBO2             J 6/66AL 1.B  1.O  2.   0.G   300.000  5000.000     69.79134 1
 7.17229950E+00 2.97807410E-03-1.24311070E-06 2.31887790E-10-1.60412080E-14    2
-6.76836820E+04-9.98173976E+00 2.30872340E+00 1.88905390E-02-2.06333480E-05    3
 1.02513240E-08-1.69412830E-12-6.64821670E+04 1.44770185E+01-6.51170313E+04    4
ALBr              J 9/79AL 1.BR 1.   0.   0.G   300.000  5000.000    106.88554 1
 4.38224240E+00 2.12007070E-04-7.07644470E-08 1.06590180E-11 1.48302660E-16    2
 5.76168490E+02 3.73910857E+00 3.49006110E+00 4.54767970E-03-8.19355780E-06    3
 6.86661520E-09-2.17650580E-12 7.29453060E+02 7.88664757E+00 1.91229750E+03    4
ALBr3             J 9/79AL 1.BR 3.   0.   0.G   300.000  5000.000    266.69354 1
 9.61505900E+00 4.44685460E-04-1.99029830E-07 3.92518180E-11-2.84279750E-15    2
-5.23495440E+04-1.31191090E+01 6.25372060E+00 1.60802170E-02-2.86597580E-05    3
 2.36160760E-08-7.39313140E-12-5.17352110E+04 2.68365807E+00-4.93659766E+04    4
ALC               J 6/63AL 1.C  1.   0.   0.G   300.000  5000.000     38.99254 1
 4.15644780E+00 4.46924900E-04-1.74670400E-07 3.43043360E-11-2.47727060E-15    2
 8.16066050E+04 2.90472521E+00 2.64224830E+00 6.44651610E-03-9.58923760E-06    3
 6.90408050E-09-1.94307790E-12 8.19298740E+04 1.02673620E+01 8.29321939E+04    4
ALCL              J 9/79AL 1.CL 1.   0.   0.G   300.000  5000.000     62.43424 1
 4.33952710E+00 2.48388740E-04-8.29218520E-08 1.23423190E-11-2.37558180E-17    2
-7.52810810E+03 2.53729424E+00 3.12222860E+00 5.92804740E-03-1.04158320E-05    3
 8.55510650E-09-2.67223800E-12-7.30758390E+03 8.25335614E+00-6.18958661E+03    4
ALCL+             J 6/76AL 1.CL 1.E -1.   0.G   300.000  5000.000     62.43369 1
 4.62849650E+00-3.47505350E-04 2.29973510E-07-2.42797980E-11-2.64405440E-16    2
 1.02204470E+05 1.43039989E+00 2.86983520E+00 6.65345860E-03-1.13277070E-05    3
 9.07029740E-09-2.77946400E-12 1.02597410E+05 1.00199526E+01 1.03665310E+05    4
ALCLF             J 6/76AL 1.CL 1.F  1.   0.G   300.000  5000.000     81.43264 1
 6.42626220E+00 6.78611680E-04-3.11863920E-07 6.21423790E-11-4.25195730E-15    2
-6.09387690E+04-3.06227076E+00 3.21759680E+00 1.45245490E-02-2.39224880E-05    3
 1.86216090E-08-5.59036670E-12-6.03055080E+04 1.22718185E+01-5.88778039E+04    4
ALCLF+            J 6/76AL 1.CL 1.F  1.E -1.G   300.000  5000.000     81.43209 1
 6.88359050E+00 7.05093660E-04-3.13660880E-07 6.16073100E-11-4.44905370E-15    2
 3.10059900E+04-8.48211353E+00 3.73412920E+00 1.38890430E-02-2.22225390E-05    3
 1.69376830E-08-5.00613420E-12 3.16477550E+04 6.66914747E+00 3.32131840E+04    4
ALCLF2            J 6/76AL 1.CL 1.F  2.   0.G   300.000  5000.000    100.43105 1
 8.86745440E+00 1.29333190E-03-5.74687960E-07 1.12784190E-10-8.13981540E-15    2
-1.23092500E+05-1.56007846E+01 3.49052450E+00 2.34106220E-02-3.67308020E-05    3
 2.75774850E-08-8.05708740E-12-1.21978570E+05 1.03598344E+01-1.20171161E+05    4
ALCL2             J 6/76AL 1.CL 2.   0.   0.G   300.000  5000.000     97.88694 1
 6.64141330E+00 4.33919070E-04-2.03424560E-07 4.09001350E-11-2.72093750E-15    2
-3.57946890E+04-3.34843904E+00 3.93367410E+00 1.29289180E-02-2.27679920E-05    3
