 Adding reactor (none)
Initializing reactor network.
Reactor 0: 55 variables.
            10 sensitivity params.
Number of equations: 55
Maximum time step:            5e-06
 6.050e-04   1502.609 101325.000   9.061884e+05
 6.100e-04   1502.821 101325.000   9.061233e+05
 6.150e-04   1503.055 101325.000   9.060513e+05
 6.200e-04   1503.314 101325.000   9.059716e+05
 6.250e-04   1503.602 101325.000   9.058828e+05
 6.300e-04   1503.923 101325.000   9.057837e+05
 6.350e-04   1504.283 101325.000   9.056726e+05
 6.400e-04   1504.688 101325.000   9.055474e+05
 6.450e-04   1505.147 101325.000   9.054058e+05
 6.500e-04   1505.667 101325.000   9.052447e+05
 6.550e-04   1506.261 101325.000   9.050605e+05
 6.600e-04   1506.944 101325.000   9.048488e+05
 6.650e-04   1507.732 101325.000   9.046042e+05
 6.700e-04   1508.646 101325.000   9.043202e+05
 6.750e-04   1509.711 101325.000   9.039888e+05
 6.800e-04   1510.958 101325.000   9.036006e+05
 6.850e-04   1512.422 101325.000   9.031446e+05
 6.900e-04   1514.142 101325.000   9.026082e+05
 6.950e-04   1516.164 101325.000   9.019777e+05
 7.000e-04   1518.531 101325.000   9.012392e+05
 7.050e-04   1521.288 101325.000   9.003791e+05
 7.100e-04   1524.470 101325.000   8.993862e+05
 7.150e-04   1528.104 101325.001   8.982526e+05
 7.200e-04   1532.201 101325.001   8.969745e+05
 7.250e-04   1536.761 101325.001   8.955528e+05
 7.300e-04   1541.770 101325.001   8.939919e+05
 7.350e-04   1547.206 101325.001   8.922983e+05
 7.400e-04   1553.050 101325.001   8.904791e+05
 7.450e-04   1559.281 101325.001   8.885402e+05
 7.500e-04   1565.888 101325.001   8.864860e+05
 7.550e-04   1572.861 101325.001   8.843196e+05
 7.600e-04   1580.188 101325.001   8.820451e+05
 7.650e-04   1587.841 101325.001   8.796715e+05
 7.700e-04   1595.756 101325.001   8.772194e+05
 7.750e-04   1603.797 101325.001   8.747315e+05
 7.800e-04   1611.726 101325.001   8.722824e+05
 7.850e-04   1619.190 101325.001   8.699817e+05
 7.900e-04   1625.779 101325.001   8.679567e+05
 7.950e-04   1631.164 101325.001   8.663102e+05
 8.000e-04   1635.234 101325.000   8.650753e+05
 8.050e-04   1638.135 101325.000   8.642060e+05
