300.0 (351.82534066944891, 351.8250735474266, 351.82739542267927)
400.0 (408.99762253715664, 404.61002797247562, 404.61285084008227)
500.0 (450.54302243641064, 450.54285915857662, 450.54565488426772)
600.0 (491.48777666765506, 491.4825367705397, 491.48548196045675)
700.0 (528.63939347726443, 528.57720547399811, 528.58026450229249)
800.0 (562.85752393486234, 562.65548024407678, 562.65863881973451)
900.0 (594.67468742563494, 594.39231087352425, 594.39568853810351)
1000.0 (623.17352077107262, 623.19966500762689, 624.39049804405829)
1100.0 (652.93693985378866, 653.02770640001893, 653.03114895967565)
1200.0 (680.29440062448919, 680.38365659341082, 680.387188088931)
1300.0 (706.48453994381532, 706.62737071341235, 706.63098586776698)
1400.0 (731.58084449748742, 731.89895205153232, 731.90264091531719)
1500.0 (755.59157150353144, 756.31711840784681, 756.3208633123752)
1600.0 (778.45872422760021, 779.98847800500209, 779.99224954304225)
1700.0 (800.07942524649718, 803.01612664977131, 803.01988045690007)
1800.0 (820.35488841346239, 825.50784437388768, 825.51152072731475)
1900.0 (839.26524874640552, 847.58372501158021, 847.58725317195024)
2000.0 (856.94736141827138, 869.38269400029901, 869.38600225658013)
2100.0 (873.73205919650115, 891.06705515512772, 891.07008400251209)
2200.0 (889.93131818730183, 912.82406401226501, 912.82677784616817)
2300.0 (906.66391467318829, 934.86381318170402, 934.86620610155194)
2400.0 (923.87654325847018, 957.41374534124031, 957.4158377683176)
2500.0 (942.11399868395097, 980.71182280600999, 980.71365409571933)
2600.0 (961.76962417690152, 1005.0022247908848, 1005.0038406420291)
2700.0 (982.98873750142286, 1030.5372880714492, 1030.5387343778259)
2800.0 (1005.8602093491274, 1057.5854577063606, 1057.5867770605248)
2900.0 (1030.56018911672, 1086.4371584109647, 1086.4383877398168)
