z (m), u (m/s), V (1/s), T (K), H2, H, O, O2, OH, H2O, HO2, H2O2, AR, 
0.0, 1.1269137416, 1.49759195785e-19, 373.0, 0.166953655653, 0.00315947214987, 2.57500760662e-05, 0.101840806842, 0.000473179760847, 0.0035736189993, 1.69701564458e-05, 9.73081504636e-06, 0.723946815548, 
3.90625e-05, 1.13712197247, 0.00519474232584, 376.444507847, 0.16666042649, 0.00319337686116, 2.67979153028e-05, 0.101751696395, 0.000492829189533, 0.00377164674904, 1.8079725454e-05, 1.03719828094e-05, 0.724074774692, 
7.8125e-05, 1.14725703731, 0.0103854797199, 379.8659905, 0.166364632565, 0.00323017395851, 2.77662919004e-05, 0.10166395506, 0.000509646437044, 0.00397222811003, 1.84187398751e-05, 1.09564665939e-05, 0.724202222371, 
0.00015625, 1.16730146338, 0.020755836801, 386.637347356, 0.16576815633, 0.00331182456337, 2.94540038874e-05, 0.101492481917, 0.000534860835513, 0.00437846415135, 1.80969256043e-05, 1.19457387085e-05, 0.724454715535, 
0.000234375, 1.18705633568, 0.0311123133805, 393.317814407, 0.165162160756, 0.00340377747749, 3.08590587343e-05, 0.1013239437, 0.000551083380012, 0.00479203501089, 1.7503266207e-05, 1.27072602138e-05, 0.72470593009, 
0.0003125, 1.20654166661, 0.0414558451494, 399.913952984, 0.164547035251, 0.00350521537937, 3.20274312248e-05, 0.101157453341, 0.000560228327959, 0.00521181302674, 1.68906069969e-05, 1.32520617846e-05, 0.724956084573, 
0.00046875, 1.24478151693, 0.0621097301429, 412.876489065, 0.163300505342, 0.00373243952916, 3.37817899651e-05, 0.100831299236, 0.000562173036633, 0.00606043763055, 1.57838702408e-05, 1.37441467357e-05, 0.725449835418, 
0.000625, 1.28220526395, 0.0827246415271, 425.587923458, 0.162021598821, 0.00398981340313, 3.5111876261e-05, 0.100507823493, 0.000551638706841, 0.00692389149347, 1.48309945458e-05, 1.36565282491e-05, 0.725941634684, 
0.00078125, 1.31893125681, 0.103305155795, 438.087354619, 0.160711616658, 0.00427419127777, 3.62565266734e-05, 0.100185152497, 0.000533929204066, 0.00779936423565, 1.39954154511e-05, 1.31511438544e-05, 0.726432343041, 
0.0009375, 1.35505451966, 0.123854982448, 450.406273774, 0.159371318896, 0.00458328253917, 3.74027797256e-05, 0.0998620712672, 0.000512378420907, 0.00868531207512, 1.32502744732e-05, 1.23634282527e-05, 0.726922620319, 
0.00109375, 1.39065201967, 0.144377157396, 462.57025183, 0.158001034496, 0.00491541082389, 3.87058532266e-05, 0.0995376883621, 0.000489098977033, 0.00958114069059, 1.25780011663e-05, 1.14001778535e-05, 0.727412942618, 
0.00125, 1.42578681884, 0.164874184344, 474.600274467, 0.156600748244, 0.00526934800761, 4.03064304361e-05, 0.0992112351643, 0.000465431191893, 0.01048700402, 1.19666902996e-05, 1.03429085023e-05, 0.727903617343, 
0.00140625, 1.46051122172, 0.185348138082, 486.513755889, 0.155170170474, 0.00564419731183, 4.23444260821e-05, 0.0988819430147, 0.000442217319103, 0.0114036709464, 1.14077949995e-05, 9.25247763488e-06, 0.728394796235, 
0.0015625, 1.49486913063, 0.205800740198, 498.325296707, 0.153708793606, 0.00603930908591, 4.49697387101e-05, 0.0985489655273, 0.000419973640974, 0.012332433807, 1.08948262949e-05, 8.17339611607e-06, 0.728886486372, 
0.00171875, 1.52889779902, 0.22623341477, 510.047246364, 0.152215938254, 0.00645421892189, 4.83506626318e-05, 0.0982113270081, 0.00039900146492, 0.0132750442674, 1.04226210221e-05, 7.13739095052e-06, 0.729378559409, 
0.001875, 1.56262913649, 0.246647329388, 521.690119169, 0.15069079098, 0.00688860146699, 5.26804962209e-05, 0.0978678858941, 0.000379460297128, 0.0142336682393, 9.98691886131e-06, 6.16621924099e-06, 0.729870759488, 
0.00203125, 1.59609068323, 0.267043425279, 533.262902067, 0.149132435334, 0.00734223555284, 5.81827201016e-05, 0.0975173068431, 0.000361416506892, 0.0152108548233, 9.58409492013e-06, 5.27387185607e-06, 0.730362710253, 
0.0021875, 1.62930634617, 0.287422439161, 544.773284169, 0.147539877491, 0.00781497765467, 6.51150013282e-05, 0.0971580379418, 0.000344875189277, 0.0162095161824, 9.21079396214e-06, 4.46832296712e-06, 0.730853921423, 
0.0025, 1.69509748815, 0.328135448562, 567.629985688, 0.144283664592, 0.00880676187369, 8.39217608868e-05, 0.0964161757637, 0.000316464265507, 0.0182588460765, 8.54155841333e-06, 3.14002240248e-06, 0.731822484087, 
0.0028125, 1.76016797941, 0.368793816734, 590.320450163, 0.140884480674, 0.00987212337562, 0.00011164029601, 0.0956236828399, 0.000293712491186, 0.0204210887287, 7.96111683295e-06, 2.13202507578e-06, 0.732783178453, 
0.003125, 1.8246348262, 0.409399980626, 612.87890362, 0.137334375177, 0.0110108068709, 0.000151145315225, 0.0947631278835, 0.000276574408587, 0.0227248252852, 7.45519360177e-06, 1.40023857115e-06, 0.733730289628, 
0.00375, 1.95216786641, 0.490479497108, 657.685104864, 0.129899216674, 0.0134598925669, 0.000272518292331, 0.0928152347487, 0.000259296111293, 0.0277521761576, 6.6159565787e-06, 6.01105149668e-07, 0.735534448387, 
0.004375, 2.07827774172, 0.571397264713, 702.225787288, 0.121842851472, 0.0161772173825, 0.000468385675726, 0.0904328704818, 0.000266860664141, 0.0335683899512, 5.95268962827e-06, 2.50374837779e-07, 0.737237221308, 
0.005, 2.20316673895, 0.652149786486, 746.501357964, 0.113171830209, 0.0191385897362, 0.000754080882363, 0.0874847207916, 0.000304093421069, 0.0403402536882, 5.4131058552e-06, 1.16610279074e-07, 0.738800901555, 
0.005625, 2.32661442509, 0.732724731843, 790.361703344, 0.103955486279, 0.0222968921251, 0.00113594240428, 0.0838772939483, 0.000376102471116, 0.0481539642562, 4.95675475759e-06, 7.41942621146e-08, 0.740199287567, 
0.00625, 2.44793225073, 0.813104964155, 833.501534789, 0.0943417369509, 0.0255768017219, 0.00160937060419, 0.0795887430156, 0.000486513915547, 0.0569686283147, 4.5523652578e-06, 6.70325384601e-08, 0.741423586079, 
0.006875, 2.56599982268, 0.893272880015, 875.48382814, 0.084557952846, 0.0288759513433, 0.00215883443473, 0.0746919530481, 0.000635495984709, 0.0665920972037, 4.17759121601e-06, 7.33845662958e-08, 0.742483464164, 
0.0075, 2.67940996332, 0.973214394957, 915.796889722, 0.0748911185757, 0.0320743470055, 0.0027597449581, 0.0693556525813, 0.000818500729305, 0.0766939788561, 3.81955790949e-06, 8.51799982697e-08, 0.743402752556, 
0.008125, 2.78670125729, 1.05292174326, 953.935071253, 0.0656488352244, 0.0350506481939, 0.003382103046, 0.0638191506891, 0.00102650666786, 0.086857505928, 3.47444179804e-06, 9.89386079043e-08, 0.74421167687, 
0.00875, 2.88661137086, 1.13239449285, 989.480342477, 0.0571115510193, 0.0377005876355, 0.0039953285061, 0.0583476137215, 0.0012479071135, 0.0966547330516, 3.14531149347e-06, 1.1269754869e-07, 0.744939020944, 
