phi, T (K), H2, H, O, O2, OH, H2O, HO2, H2O2, C, CH, CH2, CH2(S), CH3, CH4, CO, CO2, HCO, CH2O, CH2OH, CH3O, CH3OH, C2H, C2H2, C2H3, C2H4, C2H5, C2H6, HCCO, CH2CO, HCCOH, N, NH, NH2, NH3, NNH, NO, NO2, N2O, HNO, CN, HCN, H2CN, HCNN, HCNO, HOCN, HNCO, NCO, N2, AR, C3H7, C3H8, CH2CHO, CH3CHO, C(gr), 
0.29999999999999999, 1066.2524942843622, 9.0290866391143961e-11, 1.1366981366818628e-13, 3.9258479376685559e-10, 0.14253936220512389, 2.7478646999328599e-07, 0.061099658056994306, 1.4755221622455652e-09, 1.4500335345148351e-10, 9.6574094463780496e-48, 3.3847689803486601e-49, 3.5327594767676844e-47, 2.4778591165562075e-49, 7.7754460114522866e-44, 3.4359676208327449e-42, 4.0684889359243487e-11, 0.030549898133789565, 8.3719097690874254e-26, 1.9557565879109037e-27, 3.7499920777499937e-39, 1.1157501829975312e-41, 4.3697515434010704e-39, 2.1300166813711471e-66, 4.0954712085861185e-59, 1.1147324706291385e-69, 4.7404859053744858e-67, 1.9781422210004423e-77, 3.9894619394455634e-77, 1.667735559260079e-51, 2.2335694436351185e-49, 1.0058659663709809e-55, 9.1753695444512774e-21, 3.0446222518791374e-22, 4.1359859879202327e-22, 2.9060141721239999e-19, 6.1930401632435655e-20, 5.0594570665263e-05, 1.4599290741068183e-06, 3.8781020092833838e-09, 7.0089876140766604e-14, 5.1117172532943908e-37, 1.6186279048505535e-30, 9.7988926461704215e-44, 3.1443013468839497e-49, 3.8215129827516379e-36, 2.6516857752860577e-27, 3.9265666065025924e-22, 3.4125367229273717e-26, 0.76575808296255699, 0.0, 7.5148619903786729e-112, 1.5841387725202533e-111, 2.7635057719343255e-60, 8.005066338287357e-60, 0.0, 
0.36530612244897959, 1208.1535842437265, 3.1025573196974092e-09, 1.2785243312554728e-11, 1.0654914833438711e-08, 0.12832855056547224, 2.5396437694998672e-06, 0.073907636576190039, 8.74781137721971e-09, 6.8653937238029718e-10, 3.342356155158853e-41, 1.3372835949672392e-42, 5.1398570190118967e-41, 5.8608277757375938e-43, 2.4402512667293066e-38, 3.0970913263794778e-37, 2.1776988939330985e-09, 0.036954455090876297, 1.910884740187729e-22, 3.3363117832802697e-24, 1.3082013897103656e-34, 5.6280698207572872e-37, 6.8472260450716378e-35, 1.4073007782491757e-57, 1.7363619603854441e-51, 6.5427886601069754e-61, 5.7851427684176689e-59, 3.2666974517167374e-68, 2.5047228466333752e-68, 5.9190575978465301e-45, 2.251229869492901e-43, 5.6515020242469144e-49, 5.0850578354106114e-18, 2.0085733659028114e-19, 1.6912118993441001e-19, 2.7936793195840839e-17, 9.5411709911563393e-18, 0.00016065821145253562, 2.0478791217476259e-06, 1.1075934861970201e-08, 1.5099153691785234e-12, 4.2054157805010735e-32, 1.3068623795453464e-26, 2.0562458359208636e-38, 2.1177456496323157e-43, 5.08229895121446e-32, 2.9916547562122539e-24, 1.1093012152730574e-19, 4.7167898818464768e-23, 0.7606436864998235, 0.0, 7.9476550614837177e-99, 6.2208780741870444e-99, 4.0082207014523938e-53, 5.0994873027448955e-53, 0.0, 
0.43061224489795918, 1343.3387816360664, 4.6803209665946974e-08, 4.6705134589767682e-10, 1.2748581175393096e-07, 0.11424792936217459, 1.3632147052114977e-05, 0.086543017766171321, 3.2959909690058174e-08, 2.2271339634895071e-09, 3.0967769518503195e-36, 1.3917421453074975e-37, 2.5544681996422312e-36, 4.2057510510346969e-38, 3.8822385167778773e-34, 1.9635873261363006e-33, 4.5344015841328651e-08, 0.043274904447379796, 6.9358581303196453e-20, 9.9172862523100784e-22, 3.8870263979861394e-31, 2.213604836916242e-33, 1.1317847373277453e-31, 7.4097355169503892e-51, 1.169274959742764e-45, 3.2687015345995335e-54, 8.9997835441411585e-53, 3.7139463931152268e-61, 1.4004358258519141e-61, 5.8671691013841123e-40, 8.8034416231299309e-39, 8.1363634724442069e-44, 6.067373606116759e-16, 2.7729766067578475e-17, 1.6546261192075386e-17, 9.317579311727896e-16, 4.386342820770189e-16, 0.00037762162380315374, 2.5543252743414096e-06, 2.4187320254835027e-08, 1.541165044173999e-11, 2.2922648007649521e-28, 1.260476738175374e-23, 2.3743904787384219e-34, 5.8229984013467449e-39, 7.0559755574046652e-29, 6.3874323334089258e-22, 8.3492493824372179e-18, 1.1569369584129113e-20, 0.75554228051625483, 0.0, 7.4986152499738066e-89, 2.8358201002686349e-89, 1.1982862164419256e-47, 8.3627122444421819e-48, 0.0, 
0.49591836734693878, 1472.3195841312795, 4.0565065168456813e-07, 7.9915453319913313e-09, 8.7516407054398711e-07, 0.10027924184981681, 5.0610164499722598e-05, 0.099000274438178618, 9.0994104617448287e-08, 5.5700231459915104e-09, 2.519144028968291e-32, 1.2594232494122377e-33, 1.3157194152695851e-32, 2.888194533059314e-34, 8.3549721565024169e-31, 2.1021473118127535e-30, 5.0127803120921587e-07, 0.049512518865014288, 7.3210686285277463e-18, 9.1247774909988769e-20, 2.2078270480735285e-28, 1.5687784787469415e-30, 4.1354465456277636e-29, 1.5244653575980632e-45, 4.8958647825567399e-41, 6.6782864440311234e-49, 7.5202253144688703e-48, 1.49890318736437e-55, 3.3074331831165001e-56, 5.2681791242050041e-36, 3.8929524381069102e-35, 1.0012167697506216e-39, 2.5717321682060993e-14, 1.3357927472863456e-15, 6.187986962660584e-16, 1.5268776146309105e-14, 8.9348491240300764e-15, 0.00072241062579409064, 2.9235140726470576e-06, 4.3904212150836995e-08, 9.4925358609275426e-11, 2.0210168190165163e-25, 2.9242036719799824e-21, 3.9150098411226763e-31, 1.8671613301871586e-35, 2.1428243642633986e-26, 4.4569387186529333e-20, 2.5837331863518873e-16, 8.8711790265278951e-19, 0.75044213030235785, 0.0, 6.3801281285641557e-81, 1.3926104270533946e-81, 2.6484688262595059e-43, 1.1782624165507847e-43, 0.0, 
0.56122448979591844, 1595.4761532272735, 2.3804867022096069e-06, 7.9983931398775195e-08, 4.0369746297977185e-06, 0.086414763777633977, 0.00014434995314497958, 0.11126583290536564, 2.0023243921928359e-07, 1.1521157567292097e-08, 3.6949905982338483e-29, 2.044286859352201e-30, 1.3779195829265512e-29, 3.8120299130657723e-31, 4.4191015938397146e-28, 6.4790165311301524e-28, 3.554529853342376e-06, 0.055666715585377453, 3.2416898212293488e-16, 3.6853414944223949e-18, 3.9187383581196123e-26, 3.3324565940807397e-28, 5.2408653139391653e-27, 3.2184000017775336e-41, 2.9244182081170464e-37, 1.4494594808503727e-44, 8.1044095949533218e-44, 5.8282332153741632e-51, 8.5196134962794304e-52, 8.7594850964105713e-33, 3.7330913400712971e-32, 2.1911403797138151e-36, 5.2400053907334932e-13, 3.0594209374728164e-14, 1.1753588108963498e-14, 1.5197375379419099e-13, 1.0245088079990737e-13, 0.0011897272329802278, 3.1218073659923231e-06, 6.9590773351304494e-08, 4.0797637111620825e-10, 4.9524658700951847e-23, 2.4978804393894907e-19, 1.64578533877365e-28, 1.3202854046130841e-32, 2.2295623646968927e-24, 1.416254288087418e-18, 4.281079802810439e-15, 2.9975305350318118e-17, 0.7453446369553155, 0.0, 2.0032689010162424e-74, 2.865006050034711e-75, 9.4127459490366221e-40, 2.9719663425852164e-40, 0.0, 
0.62653061224489792, 1713.0412673333999, 1.0523260903614784e-05, 5.4007822414211288e-07, 1.3814960188134171e-05, 0.072662330098956729, 0.00033793396646097912, 0.12331655416652092, 3.6958292698478288e-07, 2.0577797355408069e-08, 1.5508674562602566e-26, 9.4812801185291375e-28, 4.5313540577509452e-27, 1.5157757277610152e-28, 8.4553881714518134e-26, 8.1324824514952885e-26, 1.8267762522349251e-05, 0.061729992498018013, 7.6242371491365294e-15, 8.1908869059549774e-17, 2.9859408870522656e-24, 2.9472965959521845e-26, 3.0854584210015657e-25, 1.2997288746300689e-37, 4.267126984166659e-34, 6.198514995968258e-41, 1.9889379796908243e-40, 4.1717749709239593e-47, 4.4346077156141058e-48, 4.2794117319337287e-30, 1.1836922713204198e-29, 1.3698532564532545e-33, 6.2232647956550317e-12, 4.0611946325141112e-13, 1.3613823170199504e-13, 1.0544918199369778e-12, 7.7093868018442284e-13, 0.0017450584866290201, 3.1323486913317224e-06, 9.9228355038998003e-08, 1.3408207366375329e-09, 4.7781011222758324e-21, 1.0350253717415746e-17, 2.5655020650514817e-26, 3.1032164025701551e-30, 1.0607188893680998e-22, 2.538737929708307e-17, 4.5067707916000393e-14, 5.5644494902852413e-16, 0.74026583451302119, 0.0, 5.7927606505321194e-69, 5.9709216889480024e-70, 8.8953349234000567e-37, 2.1613045011444413e-37, 0.0, 
0.69183673469387763, 1825.0265290101956, 3.7702752537671148e-05, 2.7067394834711672e-06, 3.733378545607883e-05, 0.059056654834594394, 0.00067738910544288102, 0.13511894265932833, 5.8935275539191956e-07, 3.2565934134847123e-08, 2.5375573828858055e-24, 1.7182076922092607e-25, 6.2789017690162913e-25, 2.4604229781704886e-26, 7.6194597252388108e-24, 5.2794369357586743e-24, 7.3928567798471598e-05, 0.067674582646906123, 1.1169163333315923e-13, 1.1686660655401623e-15, 1.2118862358616448e-22, 1.3562951466483449e-24, 1.0310857079890823e-23, 1.5307264099815462e-34, 2.1959343562075469e-31, 7.9585794012160852e-38, 1.6420611003809084e-37, 8.5652649853229052e-44, 7.1318121460015642e-45, 8.4009163631447039e-28, 1.6556549068353467e-27, 3.3774968636523338e-31, 4.8908264331533209e-11, 3.5645167233235666e-12, 1.0875615175246831e-12, 5.6081930713364537e-12, 4.2175953339061921e-12, 0.0023249581936624244, 2.9510702457675232e-06, 1.2944562297326631e-07, 3.5738848586067766e-09, 2.2943590905141702e-19, 2.5108998400510219e-16, 1.9129273046068263e-24, 3.1974135575648053e-28, 2.8013406537698412e-21, 2.9675126829462073e-16, 3.3871540581990099e-13, 6.5780567886615595e-15, 0.73523624991082992, 0.0, 2.8887389778752322e-64, 2.3152634001421446e-65, 3.1497603080243874e-34, 6.2841865308183969e-35, 0.0, 
0.75714285714285712, 1931.0495369977923, 0.00011542902305022587, 1.0747387205866893e-05, 8.26395064911122e-05, 0.045685481555330976, 0.0011927713026170493, 0.14662736000377014, 8.2221654916946508e-07, 4.6237601609080192e-08, 2.0012801275168949e-22, 1.5115551322540041e-23, 4.5089440815591037e-23, 2.0181347993054544e-24, 3.9078958275416635e-22, 2.1119175389537283e-22, 0.00024984753518121161, 0.073422657298238339, 1.139151647065023e-12, 1.1950685298439933e-14, 3.0533300669981825e-21, 3.8024326752647996e-23, 2.2615480764639426e-22, 7.0772453645950857e-32, 5.188497709620584e-29, 4.1478852054529509e-35, 6.0552188263912949e-35, 6.9526137396622843e-41, 4.8349401845673399e-42, 8.2672636635033964e-26, 1.2566773424336139e-25, 4.132114308466564e-29, 2.7650316570492907e-10, 2.2613712190848507e-11, 6.5286134884967231e-12, 2.4504895295270234e-11, 1.798623410003757e-11, 0.0028372659133289019, 2.5853863403909407e-06, 1.5549499302944419e-07, 8.0118779624300538e-09, 6.453851368626341e-18, 4.0809545014985779e-15, 8.1756952840736195e-23, 1.7519432503064596e-26, 4.6963282056658031e-20, 2.5043305333407089e-15, 1.9751553705330728e-12, 5.4800597815902695e-14, 0.73030079318385699, 0.0, 3.9161353705618066e-60, 2.6055633670891604e-61, 5.3414797084319855e-32, 9.2609316336726489e-33, 0.0, 
0.82244897959183683, 2029.9654463946229, 0.00031464691574708252, 3.5330454731706671e-05, 0.00015184911586116072, 0.032743595547796128, 0.0018658384204529868, 0.15777757482448918, 9.9797703725807002e-07, 5.8823585130289789e-08, 8.7974728241275899e-21, 7.519707739461879e-22, 1.9516533050014462e-21, 9.766605261538735e-23, 1.3183514146567836e-20, 5.9895440319376578e-21, 0.0007364219074810647, 0.078785263985469534, 8.759718391302168e-12, 9.5197027425752522e-14, 5.3510757393795918e-20, 7.2969715935927229e-22, 3.6466068108058501e-21, 1.5969118009764499e-29, 6.886852312201576e-27, 1.1035130200554758e-32, 1.2458280507573854e-32, 2.8637050955814661e-38, 1.7701458839448093e-39, 4.7991701370589334e-24, 6.0653584023328009e-24, 2.979575731019325e-27, 1.1829980668340607e-09, 1.0995091896802807e-10, 3.1299321287744845e-11, 9.2979666085662682e-11, 6.2654709267715799e-11, 0.0031597763313443899, 2.0571248782582531e-06, 1.7112965606038783e-07, 1.5372904993732248e-08, 1.1935973016380184e-16, 4.9243089496990795e-14, 2.2924956319865527e-21, 5.8601455095841081e-25, 5.4867726073911869e-19, 1.6428613951488619e-14, 9.5127436483776389e-12, 3.4472321642068591e-13, 0.72551942067069919, 0.0, 2.0605292794246144e-56, 1.2125418923507053e-57, 5.2260321506907303e-30, 8.3268982075588558e-31, 0.0, 
0.88775510204081631, 2119.0485648730159, 0.0007919876876198691, 9.8757257102023349e-05, 0.00022789594148308419, 0.020639328641170841, 0.0025769113843378539, 0.16846451477791624, 1.0189147550821295e-06, 6.5618407296489066e-08, 2.3654162163809756e-19, 2.3522961157486367e-20, 5.7196360668886144e-20, 3.1369293825010929e-21, 3.3123840123279712e-19, 1.3748704222063361e-19, 0.0019594908027080276, 0.083337971747983963, 5.3832762633669523e-11, 6.3347084192043967e-13, 7.1489062733570101e-19, 1.0512066695869972e-20, 4.7855245574583489e-20, 2.0823918406689094e-27, 6.1088943890666105e-25, 1.8199852514702644e-30, 1.7504246260720133e-30, 7.4769473472443471e-36, 4.4141498792882011e-37, 1.8675313241584242e-22, 2.133914057100975e-22, 1.4585168017015821e-25, 3.9021289925329791e-09, 4.2312354032992118e-10, 1.2517193156702298e-10, 3.2268638683794163e-10, 1.8328988980170234e-10, 0.003140195528605397, 1.4125229055984417e-06, 1.6855113353559584e-07, 2.5133363506023045e-08, 1.5753177334292615e-15, 4.8149829236016011e-13, 4.7074617706580507e-20, 1.3228021875143142e-23, 4.75641445884988e-18, 8.8592428809959901e-14, 3.9838252362499729e-11, 1.7099739883040687e-12, 0.72096715102077502, 0.0, 5.8031081935978268e-53, 3.2485010458088928e-54, 3.4520611849438887e-28, 5.3992353174018042e-29, 0.0, 
