Distance (mm), T (C), P (atm), H2, O2, H2O, CH4, CO, CO2, AR, PT(S), H(S), H2O(S), OH(S), CO(S), CO2(S), CH3(S), CH2(S), CH(S), C(S), O(S), 
0.0, 800.00000000000011, 1.0000006517128226, 0.000710157747537, 0.00205212749813, 0.576478276218, 0.0939143635022, 0.0102452237222, 0.278348993263, 0.0382508580488, 0.986034283593, 0.00134766718038, 0.00120248962908, 0.000479375745325, 0.00982588214568, 2.18159095727e-07, 1.43528980018e-07, 3.70009621644e-10, 1.29584939953e-12, 0.00109363239913, 1.6307247994e-05, 
0.015000000000000001, 800.00000000000011, 1.0000013034256454, 0.0217445428942, 7.56574691474e-06, 0.562278840387, 0.0861419910591, 0.0118563070592, 0.280155384584, 0.0378153682702, 0.971115362348, 0.0079981774212, 0.00115504162131, 1.1994821615e-05, 0.0111437746817, 2.12740759754e-07, 4.94620740655e-09, 2.99309156311e-11, 5.51550273763e-12, 0.00857538251895, 4.8864994303e-08, 
0.030000000000000002, 800.00000000000011, 1.0000019551384676, 0.0381471390462, 2.85811504474e-08, 0.549689532001, 0.0807755741199, 0.0134445315042, 0.280473803804, 0.0374693909429, 0.964825395915, 0.0105435363591, 0.00112186742918, 9.05738575844e-06, 0.0124922365948, 2.11576433768e-07, 6.14927835601e-09, 5.39118836488e-11, 9.36802451727e-12, 0.0110076622853, 2.62418979773e-08, 
0.045000000000000005, 800.00000000000011, 1.0000026068512902, 0.05089635015, 1.09683363402e-10, 0.539934871229, 0.076556006353, 0.014851241922, 0.280564368554, 0.0371971616829, 0.961648323956, 0.0121473250344, 0.00109833133805, 8.00144180405e-06, 0.0136929094856, 2.10938313825e-07, 7.69018767648e-09, 7.09812169583e-11, 1.12135004927e-11, 0.0114048697888, 2.0244864696e-08, 
0.060000000000000005, 800.00000000000011, 1.0000032585641128, 0.0612759921024, 4.25746208363e-13, 0.532011074611, 0.0730954971266, 0.0160810501071, 0.280562483027, 0.0369739030261, 0.959658012661, 0.0133059367028, 0.00107997382065, 7.36060696066e-06, 0.0147389653659, 2.10494704846e-07, 8.9555101169e-09, 8.21272342301e-11, 1.2095275681e-11, 0.0112095141782, 1.71196728765e-08, 
0.075000000000000011, 800.00000000000011, 1.0000039102769351, 0.0699716690668, 1.66719246924e-15, 0.525383162567, 0.070181828458, 0.0171602614012, 0.280517154104, 0.0367859244037, 0.958307839303, 0.0142015196537, 0.00106501954622, 6.91958612259e-06, 0.0156529689631, 2.10160822288e-07, 9.88530729216e-09, 8.88341713876e-11, 1.24144121404e-11, 0.0107654976232, 1.51775768622e-08, 
0.090000000000000011, 800.00000000000011, 1.0000045619897571, 0.0774077254142, 6.57930571786e-18, 0.51972241125, 0.067680262214, 0.018116556397, 0.280448511691, 0.0366245330334, 0.957325588498, 0.0149233286503, 0.00105246536938, 6.59256204893e-06, 0.0164591749192, 2.09891314195e-07, 1.05285419895e-08, 9.2498473927e-11, 1.24118990087e-11, 0.0102326156354, 1.38411762343e-08, 
0.10500000000000001, 800.00000000000011, 1.0000052137025803, 0.0838692763493, 2.96067478747e-20, 0.514809012777, 0.0654987746265, 0.0189735445139, 0.280365599833, 0.0364837919001, 0.956564815074, 0.0155222760347, 0.00104168774529, 6.33753520896e-06, 0.0171783131717, 2.09660454172e-07, 1.0951924203e-08, 9.41547464797e-11, 1.22303692907e-11, 0.00968633686252, 1.28573800526e-08, 
0.12000000000000001, 800.00000000000011, 1.0000058654154027, 0.0895578273785, 3.22262720351e-21, 0.5104880562, 0.0635717097177, 0.0197499854359, 0.280272956136, 0.0363594651318, 0.955943290483, 0.016030244115, 0.00103227409739, 6.13128870617e-06, 0.0178268618816, 2.09453388178e-07, 1.12136784796e-08, 9.45091051496e-11, 1.19532772954e-11, 0.00916096526312, 1.20976409495e-08, 
0.13500000000000001, 800.00000000000011, 1.0000065171282253, 0.0946209105078, 2.81500798898e-21, 0.506646290546, 0.0618507624179, 0.0204604029979, 0.28017319726, 0.0362484362704, 0.955413171377, 0.0164685065041, 0.00102393810829, 5.95985123462e-06, 0.0184175846618, 2.09261448953e-07, 1.13587173165e-08, 9.40290746177e-11, 1.16292532787e-11, 0.00867060728171, 1.14896708453e-08, 
0.15000000000000002, 800.00000000000011, 1.0000071688410477, 0.0991694914542, 2.58544591097e-21, 0.503198587152, 0.0602995258528, 0.021115970508, 0.28006806854, 0.0361483564929, 0.954945693703, 0.0168519311638, 0.00101647335779, 5.8142653734e-06, 0.0189603083809, 2.09079547268e-07, 1.14200942548e-08, 9.30213766839e-11, 1.12865526565e-11, 0.00821954753524, 1.09896358412e-08, 
0.16500000000000001, 800.00000000000011, 1.0000078205538705, 0.103288872009, 2.38718590195e-21, 0.500079513732, 0.0588900021678, 0.0217253145814, 0.279958878029, 0.0360574194806, 0.954523019653, 0.0171912858207, 0.0010097263218, 5.68849768973e-06, 0.0194626282278, 2.08904689611e-07, 1.14217011173e-08, 9.16872112892e-11, 1.09414725539e-11, 0.00780742048028, 1.05693599509e-08, 
0.18000000000000002, 800.00000000000011, 1.0000084722666931, 0.107045834383, 2.22520723786e-21, 0.49723783673, 0.0576002819357, 0.0222951556565, 0.279846679576, 0.0359742117196, 0.954133753553, 0.0174945936416, 0.00100357984102, 5.57831997934e-06, 0.0199304685138, 2.08735121103e-07, 1.13807205102e-08, 9.01589816369e-11, 1.0603245632e-11, 0.00743179570453, 1.02098699776e-08, 
0.19500000000000001, 800.00000000000011, 1.0000091239795155, 0.110493488259, 2.11484873147e-21, 0.494632801921, 0.0564129550493, 0.0228307920637, 0.279732352722, 0.0358976099846, 0.95377040172, 0.0177679738532, 0.000997942565783, 5.48067119881e-06, 0.0203685060575, 2.08569823195e-07, 1.13095230429e-08, 8.85241181221e-11, 1.02769046189e-11, 0.00708946525645, 9.89789621166e-09, 
0.21000000000000002, 800.00000000000011, 1.0000097756923378, 0.113674652965, 1.88788677324e-21, 0.492231543586, 0.0553139960619, 0.0233364575906, 0.279616640393, 0.0358267094038, 0.953427893405, 0.0180161863004, 0.000992741959159, 5.39327410331e-06, 0.0207804826974, 2.08408213225e-07, 1.12170497072e-08, 8.68404545496e-11, 9.96497583993e-12, 0.00677707301772, 9.62386082655e-09, 
0.22500000000000001, 800.00000000000011, 1.0000104274051602, 0.116624271415, 1.88635311435e-21, 0.49000723641, 0.0542919665518, 0.0238155832844, 0.279500170323, 0.0357607720161, 0.953102697576, 0.0182429959924, 0.000987919518535, 5.31439501982e-06, 0.0211694341029, 2.08249965256e-07, 1.11097946808e-08, 8.51461879562e-11, 9.66849180236e-12, 0.0064914095799, 9.38066491626e-09, 
0.24000000000000002, 800.00000000000011, 1.0000110791179835, 0.119371167856, 1.79176149733e-21, 0.487937750017, 0.0533374342424, 0.0242709887479, 0.27938346985, 0.0356991892861, 0.952792283281, 0.0184514247193, 0.000983427419438, 5.24268766813e-06, 0.0215378570512, 2.08094901246e-07, 1.09924986156e-08, 8.34663801229e-11, 9.38760255155e-12, 0.00622953649833, 9.16292634202e-09, 
0.255, 800.00000000000011, 1.0000117308308059, 0.121939352142, 1.76547495049e-21, 0.486004650438, 0.0524425422215, 0.0247050227642, 0.279266978112, 0.0356414543213, 0.952494782815, 0.0186439290302, 0.000979226101677, 5.17708843632e-06, 0.0218878323813, 2.07942925492e-07, 1.08686373937e-08, 8.18172405025e-11, 9.12194759894e-12, 0.00598882471425, 8.96648395223e-09, 
0.27000000000000002, 800.00000000000011, 1.0000123825436289, 0.124349000248, 1.70500057089e-21, 0.484192448696, 0.051600685892, 0.0251196670164, 0.279151057136, 0.0355871410111, 0.952208777319, 0.0188225287034, 0.000975282498925, 5.11674427363e-06, 0.0222211158636, 2.07793985169e-07, 1.07407684063e-08, 8.02089787805e-11, 8.87088365623e-12, 0.00576695145889, 8.78806533394e-09, 
0.28499999999999998, 800.00000000000011, 1.0000130342564515, 0.126617201181, 1.60651021867e-21, 0.482488028808, 0.0508062671442, 0.0255166128448, 0.279036001833, 0.0355358881888, 0.951933158096, 0.0189889012546, 0.000971568717239, 5.06096186771e-06, 0.022539205762, 2.07648047005e-07, 1.06107772738e-08, 7.86477223253e-11, 8.63362409855e-12, 0.00556187823722, 8.62505825658e-09, 
0.30000000000000004, 800.00000000000011, 1.0000136859692743, 0.128758538988, 1.45095882982e-21, 0.480880200473, 0.0500545036554, 0.0258973200914, 0.278922049464, 0.0354873873276, 0.951667034749, 0.0191444529212, 0.000968061023041, 5.00917095445e-06, 0.0228433943158, 2.07505084014e-07, 1.04800546503e-08, 7.71368138684e-11, 8.40932354078e-12, 0.00537182127393, 8.4753494685e-09, 
0.315, 800.00000000000011, 1.0000143376820971, 0.130785542671, 1.49791390686e-21, 0.479359354123, 0.0493412818807, 0.0262630604866, 0.278809387823, 0.0354413730155, 0.951409674304, 0.0192903721874, 0.000964739074534, 4.96089754226e-06, 0.0231348061333, 2.07365068065e-07, 1.03496245212e-08, 7.56777033131e-11, 8.19712929692e-12, 0.00519522126736, 8.33720920556e-09, 
0.33000000000000002, 800.00000000000011, 1.0000149893949195, 0.132709042729, 1.45183344962e-21, 0.477917186806, 0.0486630402483, 0.0266149516519, 0.278698163071, 0.0353976154934, 0.951160459352, 0.0194276712688, 0.000961585314467, 4.91574384876e-06, 0.0234144283254, 2.07227965782e-07, 1.02202374174e-08, 7.42705588146e-11, 7.99621115945e-12, 0.0050307142558, 8.20920639821e-09, 
0.34499999999999997, 800.00000000000011, 1.0000156411077423, 0.134538456868, 1.4969269782e-21, 0.476546482388, 0.0480166765686, 0.0269539833622, 0.278588486198, 0.0353559146147, 0.950918859599, 0.0195572180556, 0.000958584495596, 4.87337320468e-06, 0.0236831336017, 2.0709373809e-07, 1.00924389309e-08, 7.29146914291e-11, 7.80577827654e-12, 0.00487710551806, 8.09014585857e-09, 
0.36000000000000004, 800.00000000000011, 1.0000162928205649, 0.13628201603, 1.34749038954e-21, 0.475240937634, 0.0473994744524, 0.0272810377263, 0.278480439031, 0.0353160951257, 0.950684411745, 0.0196797615661, 0.000955723299988, 4.83349841342e-06, 0.0239416983872, 2.06962339018e-07, 9.96662072698e-09, 7.16088521247e-11, 7.62508781072e-12, 0.00473334651604, 7.97902066203e-09, 
0.375, 800.00000000000011, 1.0000169445333875, 0.137946952539, 1.3069024659e-21, 0.473995017529, 0.0468090422505, 0.0275969060189, 0.278374078935, 0.035278002727, 0.950456704928, 0.0197959520766, 0.000952990031018, 4.79587270394e-06, 0.0241908178837, 2.0683371662e-07, 9.84305785107e-09, 7.03514341305e-11, 7.45344796459e-12, 0.00459851457807, 7.8749757201e-09, 
0.39000000000000001, 800.00000000000011, 1.0000175962462103, 0.139539650334, 1.3005333931e-21, 0.472803839507, 0.0462432643973, 0.0279023016374, 0.278269443192, 0.0352415009319, 0.95023537067, 0.0199063571544, 0.00095037436726, 4.7602826811e-06, 0.0244311174014, 2.06707813799e-07, 9.72193736402e-09, 6.91406192377e-11, 7.29021857892e-12, 0.00447179584101, 7.77727970932e-09, 
