z (m), u (m/s), V (1/s), T (K), rho (kg/m3), H2, H, O, O2, OH, H2O, HO2, H2O2, AR, 
0.0, 1.12760453301, 0.0, 373.0, 0.053209534330576826, 0.167847725198, 0.00295397053843, 2.47473736618e-05, 0.101873971042, 0.00045481563651, 0.00332781919308, 1.7264745476e-05, 9.51078296822e-06, 0.72349017549, 
1.953125e-05, 1.13248426752, 0.0, 374.643369902, 0.052980574775790365, 0.167708339996, 0.002969894196, 2.52530257453e-05, 0.101832151562, 0.000464299078589, 0.00342046339316, 1.78315504904e-05, 9.82544443452e-06, 0.723551941754, 
3.90625e-05, 1.13734970768, 0.0, 376.282306028, 0.052754233339173298, 0.167568320802, 0.00298649976605, 2.57403935929e-05, 0.101790669046, 0.000473128707795, 0.00351374630701, 1.81677801712e-05, 1.01275479519e-05, 0.723613599649, 
7.8125e-05, 1.14703598354, 0.0, 379.546196313, 0.052309316575000292, 0.167287007777, 0.00302166056478, 2.66566328516e-05, 0.10170877279, 0.000488764031727, 0.00370171411712, 1.83704479774e-05, 1.06918629876e-05, 0.723736361775, 
0.0001171875, 1.15666056309, 0.0, 382.790886449, 0.051874586040088731, 0.167003248196, 0.00305943688039, 2.74983871662e-05, 0.101627823456, 0.000501875620386, 0.00389182346992, 1.82808920676e-05, 1.12036163606e-05, 0.723858809482, 
0.00015625, 1.16622378637, 0.0, 386.016490737, 0.051449707199967512, 0.1667170922, 0.00309973495136, 2.82687898646e-05, 0.101547651017, 0.000512663373381, 0.00408388289503, 1.80579313042e-05, 1.16620607625e-05, 0.723980986782, 
0.0001953125, 1.17572713863, 0.0, 389.223491548, 0.051034310399782193, 0.166428589279, 0.00314245779508, 2.89724263893e-05, 0.101468123152, 0.00052135701351, 0.00427772718531, 1.77790469896e-05, 1.20673118965e-05, 0.724102926789, 
0.000234375, 1.18517260425, 0.0, 392.412532676, 0.050628021460503631, 0.166137786342, 0.00318751121058, 2.96145220118e-05, 0.101389132382, 0.000528184942704, 0.00447321188331, 1.74816906028e-05, 1.24201788298e-05, 0.724224656848, 
0.0003125, 1.20389904201, 0.0, 398.739180817, 0.049841304735627992, 0.165551783316, 0.00328393611562, 3.07263803505e-05, 0.101233121755, 0.000536863624144, 0.0048671152026, 1.6887806856e-05, 1.29710200716e-05, 0.724466594779, 
0.000390625, 1.22242402964, 0.0, 405.003783748, 0.049086692008330074, 0.164957176306, 0.00338861899384, 3.1660527664e-05, 0.101078368911, 0.000540520279704, 0.00526596073078, 1.63312459777e-05, 1.33396812424e-05, 0.724708023324, 
