z (m), u (m/s), V (1/s), T (K), rho (kg/m3), H2, H, O, O2, OH, H2O, HO2, H2O2, C, CH, CH2, CH2(S), CH3, CH4, CO, CO2, HCO, CH2O, CH2OH, CH3O, CH3OH, C2H, C2H2, C2H3, C2H4, C2H5, C2H6, HCCO, CH2CO, HCCOH, N, NH, NH2, NH3, NNH, NO, NO2, N2O, HNO, CN, HCN, H2CN, HCNN, HCNO, HOCN, HNCO, NCO, N2, AR, C3H7, C3H8, CH2CHO, CH3CHO, 
0.0, 0.345394597932, -2.36858833753e-144, 300.0, 1.1270345284941168, 1.51246516283e-09, 9.04785264426e-15, -5.76190277749e-15, 0.191938579361, -2.66186692557e-15, 3.61303289128e-15, -2.09303936278e-15, -1.65084367142e-14, -2.05836630768e-14, 5.22594514478e-35, 8.32211528298e-18, 7.67663153831e-27, -4.28317541024e-15, 0.0863723607171, 1.1835423458e-14, 7.70747114447e-16, 1.1303754953e-25, 7.13012569546e-14, 1.07369000967e-24, -6.46353994405e-20, -3.48463449931e-15, -3.73059720539e-29, 5.69191939704e-17, -5.45719301069e-29, 1.88881344942e-14, -1.13169963662e-18, -1.97735256769e-15, 8.68597960291e-29, 5.58326431419e-16, -4.10817227092e-17, 6.69797637813e-14, -8.01978580223e-14, -2.88265581757e-15, 2.05685556469e-16, 1.08582359316e-28, -6.34609236107e-15, 1.05216109532e-14, -1.17340849987e-16, 6.10635962256e-16, 1.96759994657e-16, 2.60513606935e-15, -5.34225063506e-15, 2.05420797528e-35, -1.84620520902e-17, 4.13705489689e-17, 2.64118833822e-17, -2.81289099294e-16, 0.721689058411, 2.839601746e-57, -1.06405683018e-12, 1.4923790452e-15, 7.06118091436e-24, -1.66971641314e-15, 
0.001, 0.345394600085, -2.36848792383e-144, 300.000000001, 1.127034521486159, 8.20498349034e-09, 1.22038073447e-18, 1.20667051004e-14, 0.191938578061, -1.69371270378e-15, 1.67697075173e-13, 1.9179470763e-14, -1.42305886089e-14, -3.70746399092e-20, 4.70788212837e-35, 1.3398799611e-22, 9.07462939568e-27, -6.18108770421e-14, 0.0863723601528, 9.39024623511e-15, -1.14074720782e-15, 1.53193609885e-25, 7.16256460993e-14, 1.42127273762e-24, -7.92042721565e-20, -3.76924494272e-15, 4.56458904287e-35, 2.21989591365e-17, -6.44587868709e-29, 1.86116799432e-14, -1.53419941636e-18, -1.04199879646e-14, 1.04021103549e-28, 4.33639204343e-16, -6.52028206025e-17, 3.22295114085e-14, -6.56857875736e-16, -3.33687431894e-15, 7.95341232657e-17, 1.38081929024e-28, -5.15023336752e-14, 1.03660709055e-14, -1.70984208729e-16, 5.20447666202e-16, 9.7466453121e-22, 2.53496072277e-15, -5.35078906495e-15, 2.08243508301e-35, -4.59987297014e-17, 4.63667719002e-17, 7.30974603202e-17, 1.34820706799e-16, 0.721689053584, 3.68303742646e-57, -2.9944079209e-12, 1.44880653117e-15, 9.34401272873e-24, -1.96543188037e-15, 
0.00320800145572, 0.345394638584, 1.82728719155e-142, 300.000000098, 1.127034395895977, 1.27862016813e-07, 9.43622862619e-23, 3.22946677493e-14, 0.191938554806, 8.86662502954e-17, 1.37785729378e-11, 2.87190491592e-14, -1.11325442913e-14, -1.13737724303e-25, 5.02073722487e-41, -3.23948353286e-25, -2.21650791637e-28, -1.67198963707e-14, 0.0863723500562, 9.241772296e-13, 1.80788215614e-14, 4.39399569207e-25, 7.18249890298e-14, 3.54819056975e-27, -3.66238804608e-20, -5.12852687156e-15, -2.74519063324e-40, -9.22422201106e-17, 2.65460055307e-30, 1.74618736101e-14, 1.23420509795e-19, -2.14597254048e-14, 2.47231780185e-28, -7.97621142462e-17, -1.51836667727e-16, 9.42295200178e-15, 1.24909495367e-17, -4.81673038382e-15, -3.21348041054e-16, 1.08311620774e-32, -2.51486820288e-14, 9.792859484e-15, -3.56420822192e-16, 2.48751207796e-16, 3.87477281264e-27, 2.2859640087e-15, -5.37581328554e-15, 1.03231117024e-40, -1.25450595025e-16, 8.71836504983e-17, 6.36051124336e-16, 4.75946013899e-17, 0.72168896726, 6.58552502754e-57, 1.11033951761e-12, 1.27439562968e-15, 1.76764420479e-23, -3.27125617719e-15, 
0.00541600291145, 0.345395055962, 4.12311842595e-142, 300.000003504, 1.1270330343071289, 1.41657766182e-06, -1.29377904897e-22, 3.93691770689e-14, 0.191938304247, 2.63552852987e-17, 4.84125308266e-10, 3.78741736148e-13, 2.57199982504e-13, -3.88301999682e-31, -7.86694387841e-41, -1.02392409297e-25, -2.67050997454e-28, 1.35192008095e-14, 0.0863722411941, 3.5380092559e-11, 9.48235510679e-13, 4.89075973531e-25, 2.07994307263e-13, 4.35089882494e-27, 1.19974087923e-20, 1.21534073593e-14, 1.20953041033e-41, -3.31872566341e-16, 3.25242424688e-30, 4.44096813601e-14, 3.75968750736e-19, 3.54180995145e-15, 2.56186867463e-28, -1.76092965739e-15, -3.52557750988e-16, 2.64695494527e-15, 1.72133218055e-19, -8.36584711046e-15, -1.18602336402e-15, -1.46386434447e-32, -1.53487138011e-14, 8.18827779056e-15, -7.80896070888e-16, -3.18678424071e-16, 1.71806759257e-32, 1.68089984933e-15, -5.42740569102e-15, 1.05479184686e-41, -3.34544211678e-16, 1.7600568738e-16, -3.16844934884e-15, -1.63289489492e-16, 0.721688037458, 1.19175250023e-56, 1.11554233461e-12, 7.87760172601e-16, 1.95533571205e-23, -7.84989158667e-15, 
0.00652000363931, 0.34539682979, 2.03034054406e-140, 300.000048636, 1.1270272475445506, 6.78249466474e-06, -1.08371370776e-22, 5.89784861085e-14, 0.191937259464, 4.12358077701e-17, 6.64221394195e-09, 5.37884007591e-12, 4.08827803459e-12, -4.11443487397e-36, -9.38549577155e-41, -4.94860710625e-26, -2.70221985653e-28, 2.94877424181e-13, 0.0863717862714, 5.26362911908e-10, 1.81914651858e-11, 5.15214113476e-25, 2.76196230989e-12, 5.12173359508e-27, 8.5573978711e-19, 3.33791652198e-13, 6.76293131711e-41, 4.77642632025e-14, 3.40998227733e-30, 5.30487450057e-13, 4.2900216341e-18, 6.21504146048e-13, 1.2375186217e-27, 5.71340679886e-15, -5.60363201725e-16, 1.2984037038e-15, -4.93157365128e-20, 1.43518501918e-15, -2.17367254828e-15, -1.22614500951e-32, -1.79395159745e-15, 2.02816898758e-14, -1.24193265587e-15, -8.96475514586e-16, -1.51432285325e-35, 9.09483762499e-16, -5.47767111576e-15, 8.35200354975e-43, -6.48493781445e-16, 2.33356633933e-16, -2.0653349532e-15, -3.68117755565e-16, 0.721684164567, 1.58322615932e-56, 1.1113748867e-12, 6.61752357163e-17, 2.0425836823e-23, -3.79451612996e-16, 
0.00762400436717, 0.345407904666, 5.22790600254e-139, 300.000861092, 1.1269911185860129, 3.83606269686e-05, 1.4538111727e-21, 3.05692732046e-13, 0.191931083264, 1.06498747688e-16, 1.16194222932e-07, 1.01895481535e-10, 7.85020910252e-11, -1.08033465374e-40, -1.53602010693e-40, 7.50427022151e-26, 6.92320453363e-28, 5.17239104053e-12, 0.0863690799888, 1.00182278998e-08, 4.50138784353e-10, 3.11721576542e-24, 6.75066139618e-11, 1.97319798988e-26, 7.4357162639e-18, 8.6390551649e-12, 3.57310835173e-39, 1.18986994226e-12, 1.10833930897e-29, 1.25059742766e-11, 6.21739968016e-17, 1.716950835e-11, 1.28403942688e-25, 2.11837618163e-13, -8.49275710425e-16, 3.11274731593e-15, -2.37853376879e-18, 9.53774418486e-14, 1.30020174331e-14, 1.64526102528e-31, 2.58363002734e-13, 2.89430276465e-13, -2.11553323561e-15, -1.96085003901e-15, -1.54972625808e-35, 1.76041006266e-14, -5.52735976256e-15, 2.48281840032e-41, -1.39754416807e-15, 6.02125292075e-16, 4.8642177292e-16, -6.7012801814e-17, 0.721661349163, 2.27151196068e-56, 1.11139340423e-12, 1.35828598397e-14, 4.02913884083e-23, 1.04737926682e-13, 
0.0081760047311, 0.345438022158, 1.22717462778e-138, 300.006446527, 1.1268928781029557, 0.00011199371816, 6.20207284666e-20, 1.53804189872e-12, 0.191916487762, 5.72950879654e-15, 8.60699200956e-07, 8.12543233449e-10, 6.29827958887e-10, 7.00041316843e-45, 1.01563843541e-39, -1.33112331169e-23, 4.15135040308e-25, 3.84002687028e-11, 0.0863625732918, 8.00140404412e-08, 4.56157164967e-09, 1.35548094006e-22, 6.91066331776e-10, 1.22505882156e-24, 9.14350234083e-15, 9.00960765061e-11, 1.87346575928e-36, 1.15148271021e-11, 4.44617472393e-27, 1.24650325588e-10, 2.55762564249e-16, 1.84804059496e-10, 7.45681992011e-24, 2.49712093692e-12, -1.21465783436e-15, 2.59008182695e-15, -1.21990582632e-17, 5.41350079597e-13, 1.1750396466e-13, 7.02108868706e-30, 2.16545897537e-12, 2.62469742065e-12, 6.49066667191e-15, 5.79718470484e-15, -1.50478433093e-35, 1.7941874062e-13, -5.58639163461e-15, 7.20074424362e-41, 1.61527100459e-15, 5.61494859161e-16, 3.94971515625e-14, -4.83811632834e-16, 0.721607997358, 2.45170654197e-56, 1.11135157358e-12, 1.87092011768e-13, -1.49082839419e-21, 1.28024430354e-12, 
0.00872800509503, 0.345581019755, 3.3744904506e-138, 300.059481037, 1.1264266615891598, 0.000365410309142, 2.71838135428e-18, 1.01197279294e-11, 0.191864409603, 3.58694681827e-13, 7.85291916196e-06, 8.02473735707e-09, 6.25775143463e-09, -3.51215504608e-46, -2.6966342308e-35, -9.42367001977e-20, 2.48596324008e-22, 3.51330828192e-10, 0.0863383813214, 7.91372542182e-07, 5.80947508114e-08, 2.37031269922e-20, 8.90230029114e-09, 7.41746829795e-22, 6.83443853848e-13, 1.18213354745e-09, 1.5656677866e-33, 1.39371704135e-10, 6.42921507006e-24, 1.56198991512e-09, 5.13126792355e-16, 2.5039093905e-09, 2.58090704665e-21, 3.70316998492e-11, 1.2348619409e-14, 3.42208920939e-15, -1.30577118499e-16, 3.51344466422e-12, 1.12327721162e-12, 3.24252051386e-28, 2.16797687691e-11, 3.04074598017e-11, 1.17326403025e-13, 8.32399573608e-14, 6.12059407968e-34, 2.33992132127e-12, -5.65747752543e-15, -3.11507760929e-35, 5.22701628801e-14, 8.33463291072e-16, 5.49648118258e-13, -1.12247851885e-15, 0.721423067325, 3.1044901539e-56, 1.09163570165e-12, 3.24191810443e-12, -1.68411219171e-18, 1.91966532826e-11, 
0.009004005277, 0.345923287231, 5.06400964334e-138, 300.254755403, 1.1253123158591554, 0.00072395437088, 1.60530049355e-16, 3.38366944041e-11, 0.19178390088, 7.26136587521e-12, 3.33350147066e-05, 3.64031409462e-08, 2.84652065564e-08, 6.33803801539e-45, 2.61705034417e-33, 6.82600756649e-19, 2.02968777609e-20, 1.49000752288e-09, 0.0862977510569, 3.58959467973e-06, 3.25994247116e-07, 1.99257090523e-18, 5.04132293312e-08, 3.53818397227e-20, 1.41945221161e-11, 6.80473724974e-09, 1.56211336517e-31, 7.48681814132e-10, 3.46568116343e-22, 8.64536392471e-09, 3.98431653925e-15, 1.48157119693e-08, 9.3831466198e-21, 2.36911374112e-10, 9.03423030285e-14, 9.85018702632e-15, 2.85551216539e-16, 1.13093563393e-11, 4.87570179009e-12, 1.83205459597e-26, 9.91668062467e-11, 1.575556145e-10, 6.77091891968e-13, 3.88590985791e-13, 5.45573827049e-32, 1.34201135898e-11, 6.62657775231e-15, 1.35802322034e-33, 3.06984539874e-13, 6.95683699337e-16, 3.11614485846e-12, 5.69087034474e-15, 0.721156994571, 3.31701954849e-56, 1.05046807906e-12, 2.37806780247e-11, 1.7604894855e-17, 1.23764451625e-10, 
0.00914200536798, 0.346507861489, 6.17155716834e-138, 300.662461197, 1.1234141366145181, 0.00106691983497, 1.79634416374e-15, 7.29651192593e-11, 0.191693835645, 5.52413607111e-11, 8.60726466559e-05, 9.94125746404e-08, 7.76888682405e-08, -1.1529201818e-44, 2.73142068775e-31, 7.39383143686e-18, 3.95219596706e-19, 3.81359256489e-09, 0.0862471009137, 9.78625925044e-06, 1.06245673373e-06, 4.36283911006e-17, 1.65466009677e-07, 8.69443977084e-19, 1.16401472618e-10, 2.26654628373e-08, 3.87068119842e-30, 2.35105557161e-09, 8.56889949195e-21, 2.78477460782e-08, 2.347367484e-14, 5.05313661911e-08, 1.36740727074e-19, 8.64547248268e-10, 3.35279907139e-13, -1.0266401976e-15, 1.67769712751e-16, 2.34713897451e-11, 1.28047546991e-11, 2.08703284593e-25, 2.72715694386e-10, 4.79301501004e-10, 2.22892135334e-12, 1.06613534728e-12, 1.41525894106e-30, 4.4563908318e-11, 4.14988839109e-14, 1.14501495625e-31, 1.01059214798e-12, 1.02003523487e-14, 1.02055184177e-11, 2.48431354373e-14, 0.720894769957, 3.22591233168e-56, 9.98484185662e-13, 9.78777479379e-11, 1.96524870698e-17, 4.5465367501e-10, 
